EP152017,               OTIS,     40,
20170913, 1200,  , TD, 15.9N, 101.8W,  30, 1006,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,
20170913, 1800,  , TS, 16.0N, 101.6W,  35, 1005,   30,   30,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,
20170914, 0000,  , TS, 16.2N, 101.2W,  45, 1002,   30,   30,   30,   20,    0,    0,    0,    0,    0,    0,    0,    0,
20170914, 0600,  , TS, 16.3N, 100.8W,  60,  995,   40,   30,   30,   30,    0,   20,   20,   20,    0,    0,    0,    0,
20170914, 1200,  , HU, 16.4N, 100.2W,  70,  988,   40,   40,   40,   30,   20,   20,   20,   20,   10,   10,   10,    0,
20170914, 1800, L, HU, 16.6N,  99.2W,  80,  980,   40,   40,   40,   30,   20,   20,   20,   20,   10,   10,   10,   10,
20170915, 0000,  , TS, 16.8N,  98.6W,  60,  992,   40,   40,   30,   20,   20,   20,   20,    0,    0,    0,    0,    0,
20170915, 0600,  , TD, 17.0N,  98.2W,  25, 1005,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,
EP172017,              NORMA,     33,
20170914, 0600,  , TD, 16.4N, 109.5W,  30, 1006,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,
20170914, 1200,  , TS, 16.9N, 109.4W,  35, 1004,   40,   60,   50,    0,    0,    0,    0,    0,    0,    0,    0,    0,
20170914, 1800,  , TS, 17.4N, 109.3W,  40, 1003,   50,   60,   50,   30,    0,    0,    0,    0,    0,    0,    0,    0,
20170915, 0000,  , TS, 17.9N, 109.4W,  45, 1001,   60,   60,   50,   40,    0,    0,    0,    0,    0,    0,    0,    0,
20170915, 0600,  , TS, 18.3N, 109.5W,  50,  998,   60,   60,   50,   50,   30,   30,    0,    0,    0,    0,    0,    0,
20170915, 1200,  , TS, 18.6N, 109.7W,  55,  994,   70,   70,   60,   60,   40,   30,    0,   20,    0,    0,    0,    0,
20170915, 1800,  , TS, 18.8N, 110.0W,  60,  989,   80,   80,   70,   70,   50,   40,   30,   30,    0,    0,    0,    0,
20170916, 0000,  , HU, 18.9N, 110.1W,  65,  985,   80,   80,   70,   70,   50,   40,   30,   30,   25,   25,    0,    0,
20170916, 0600,  , HU, 19.0N, 110.2W,  65,  985,   80,   80,   70,   70,   50,   40,   30,   30,   25,   25,    0,    0,
20170916, 1200,  , TS, 19.2N, 110.2W,  60,  988,   80,   70,   60,   70,   50,   40,   30,   30,    0,    0,    0,    0,
